,longitude,elevation
0,-90.2965084662,108.053146362
1,-93.0343319081,113.721694946
2,-103.620788063,823.713623047
3,-95.2183527191,143.977142334
4,-91.2814024505,21.738740921
5,-85.5434251764,276.863037109
6,-102.727232435,864.701171875
7,-101.57272189,752.002258301
8,-103.758939802,880.474182129
9,-81.5115556589,137.976348877
10,-92.1559424517,25.287563324
11,-85.9078344391,187.616882324
12,-103.879849737,958.571838379
13,-91.7433139196,24.0327625275
14,-98.3399935937,298.094207764
15,-99.8317836468,527.971252441
16,-81.9645346902,125.512695312
17,-82.156795029,119.36088562
18,-81.1032366661,94.9389724731
19,-82.9855301777,195.483306885
20,-95.0628616136,131.352371216
21,-80.0550168749,48.4188461304
22,-99.0834298956,512.011230469
23,-98.441889078,315.562408447
24,-89.6381474344,131.721664429
25,-102.054925948,840.584716797
26,-83.4041380651,168.407836914
27,-95.1146786584,136.594970703
28,-93.1377191128,76.6027526855
29,-81.8743218746,117.237747192
30,-88.23723676,55.8365936279
31,-100.189476511,604.960327148
32,-90.2015918615,90.025718689
33,-96.0657580074,134.701980591
34,-80.4758224442,84.1934814453
35,-82.104907982,121.304832458
36,-95.8711465531,151.754089355
37,-85.1833715152,374.574981689
38,-81.9194016388,115.699317932
39,-97.4862885671,244.541259766
40,-82.2087310793,116.950263977
41,-89.1813871881,125.659294128
42,-96.2144071838,152.558349609
43,-89.3327235449,146.274520874
44,-100.345143872,625.854736328
45,-81.6349081628,132.704406738
46,-81.2725418455,118.116371155
47,-92.4652603135,40.4430427551
48,-88.2704969844,67.5280075073
49,-101.184572655,687.648620605
50,-100.387490015,641.45300293
51,-88.2088809823,39.5141220093
52,-98.2931092151,286.464233398
53,-81.1473268142,107.861152649
54,-100.94291981,647.945800781
55,-87.8544491202,71.7487564087
56,-101.616381438,752.073364258
57,-87.4431328913,84.1568908691
58,-81.7310355468,154.917404175
59,-103.523882015,796.045043945
60,-83.8698290497,231.017440796
61,-98.1499802444,263.83996582
62,-102.641526776,879.941101074
63,-84.9773725892,336.469421387
64,-96.9180461973,226.92489624
65,-90.0982524463,120.892448425
66,-85.7523661693,208.140548706
67,-93.4469460864,62.9217948914
68,-94.2406466507,119.941108704
69,-94.5509797053,102.971351624
70,-89.0259246088,108.137298584
71,-87.5946019529,50.207195282
72,-92.7245935466,92.4535522461
73,-92.3625327996,55.0962409973
74,-97.2801959629,201.548400879
75,-83.5581332478,197.165557861
76,-86.9232622242,175.205703735
77,-93.4940628954,61.722026825
78,-100.893629445,632.418579102
79,-82.2608164445,131.839324951
80,-92.6207710525,88.1997833252
81,-101.232861879,706.053771973
82,-93.9878972312,71.154838562
83,-92.6726810045,65.6203308105
84,-86.8347341914,180.651489258
85,-80.5817245942,54.1377334595
86,-98.1963622552,289.213195801
87,-82.3129087128,128.388244629
88,-90.0464595561,108.693656921
