,longitude,elevation
0,-82.292236339,836.435791016
1,-116.071960278,587.261047363
2,-103.770660045,1289.59265137
3,-82.9986873305,757.962280273
4,-78.8771050646,88.4510040283
5,-110.913268075,1538.27807617
6,-116.159605885,531.366760254
7,-89.9410385709,75.8863983154
8,-106.457884088,1893.10400391
9,-92.6086408648,87.6492538452
10,-97.8336467657,403.677490234
11,-112.785764461,1729.15356445
12,-83.0324681697,689.44128418
13,-85.5091242234,342.137420654
14,-79.760891494,223.564941406
15,-80.6029259927,249.531173706
16,-110.99792087,1614.2064209
17,-107.865016468,2121.37207031
18,-98.889003109,495.748474121
19,-91.7552440986,69.8930664062
20,-108.037470344,2182.05883789
21,-112.614865482,1559.86071777
22,-90.6903934225,59.7304115295
23,-103.684142074,1244.49279785
24,-105.084802142,1708.81665039
25,-101.174345891,1013.30578613
26,-104.286461918,1414.15222168
27,-104.369591756,1528.05236816
28,-113.809197266,1280.72277832
29,-88.5551993064,144.203109741
30,-79.3160329305,187.623764038
31,-81.6985399516,363.755218506
32,-115.896690261,760.080810547
33,-100.209647997,708.318786621
34,-77.86859,4.41516780853
35,-92.6898113764,115.149650574
36,-84.0167457354,287.764221191
37,-79.0154872814,95.3591918945
38,-94.7685154705,147.004760742
39,-89.7876497125,103.89389801
40,-84.8793854566,545.58203125
41,-114.108175557,865.870605469
42,-93.3488370327,114.669563293
43,-82.0286770089,506.815032959
44,-90.6118452841,62.7138290405
45,-106.049275745,1901.17810059
46,-83.8507891943,283.510986328
47,-82.495625385,635.876342773
48,-85.1816910385,603.618164062
49,-114.862018917,701.440368652
50,-111.591694093,2079.5246582
51,-89.4220159092,109.975204468
52,-114.531268504,188.802642822
53,-100.386065768,752.577941895
54,-89.7132444631,117.557067871
55,-115.293779982,596.301025391
56,-108.271288363,2211.46362305
57,-111.334886966,1843.23620605
58,-83.1497061224,467.121551514
59,-99.9450245557,630.123046875
60,-107.213975722,1726.765625
61,-91.4927226245,58.7906913757
62,-110.319992854,1523.56274414
63,-82.9890906355,930.993896484
64,-106.295029179,2129.09130859
65,-93.562424103,146.546508789
66,-90.100143724,65.90625
67,-112.442916862,1608.98950195
68,-85.7635647167,215.091995239
69,-105.611434514,2121.61425781
70,-98.1819910958,452.496063232
71,-91.8427270703,69.753944397
72,-104.116439029,1339.97961426
73,-95.8158102561,231.286270142
74,-83.2729634083,370.376037598
75,-111.755690156,2243.76220703
76,-98.2705210569,429.257568359
77,-84.1022774233,302.185150146
