,longitude,elevation
0,-84.0666806746,281.228607178
1,-84.4510494609,309.242767334
2,-81.224486887,747.94317627
3,-89.1422113429,161.382858276
4,-79.8564751667,342.567993164
5,-82.9439995144,182.692962646
6,-85.0502614755,262.797485352
7,-84.310088023,317.98147583
8,-80.5592944278,622.812744141
9,-84.1332076568,317.959503174
10,-79.8257733919,353.824768066
11,-82.9807414167,195.05229187
12,-79.9038058517,398.080657959
13,-78.9223748568,407.122680664
14,-90.5681425538,176.189743042
15,-78.5908780407,314.727905273
16,-87.7280878218,131.839630127
17,-88.5386924109,132.941329956
18,-79.3890644148,342.047454834
19,-79.0947220339,461.521057129
20,-83.5382943527,274.381469727
21,-81.2680915361,544.001159668
22,-82.9072515378,205.482696533
23,-88.0190062792,124.180274963
24,-79.6219675748,763.766357422
25,-76.790963695,23.1342506409
26,-84.7165760165,259.182922363
27,-81.5712510799,185.421508789
28,-88.2776108553,127.336891174
29,-79.7906722163,337.299224854
30,-82.6103729883,182.350906372
31,-79.0149745838,431.568908691
32,-80.7161155346,739.297180176
33,-85.4544577079,183.526229858
34,-85.9941609173,268.10055542
35,-79.8563432716,342.317596436
36,-77.4541520669,60.5727958679
37,-84.5756423897,278.29208374
38,-79.4695315,413.21875
39,-78.0240460242,133.22064209
40,-76.9437445665,34.1822433472
41,-77.6983213654,82.209312439
42,-79.2639951702,567.524108887
43,-81.262255105,503.488769531
44,-87.4688889458,141.991577148
45,-86.2841352969,241.044845581
46,-86.1699163816,196.723907471
47,-81.2140968622,748.602478027
48,-80.7473120639,772.788085938
49,-82.4620514944,228.325027466
50,-86.0668788366,230.717758179
51,-84.0357811422,308.487701416
52,-83.3652792085,373.990386963
53,-89.3295122179,146.027877808
54,-84.4819468085,298.208221436
55,-77.4461493687,45.7683639526
56,-90.6926091586,175.558624268
57,-79.7284672695,404.289978027
58,-90.3818484517,158.190551758
59,-81.8870058334,234.632171631
60,-81.0219850022,826.555664062
61,-89.8758972922,157.246017456
62,-90.6041991315,152.063201904
63,-86.2411009665,150.799819946
64,-76.4238392021,8.98669528961
65,-89.8391838442,133.926177979
66,-80.9128532259,392.851928711
67,-77.942745857,95.3360748291
68,-86.5007433977,196.032058716
69,-81.5616869815,188.836456299
70,-84.5128581721,291.915283203
71,-88.4637246302,115.566352844
72,-77.2009141546,32.4162139893
73,-83.4009188363,304.001708984
74,-82.7967009915,229.008087158
75,-87.0221647477,129.046142578
76,-80.6883631285,758.60357666
77,-83.6404806831,216.475646973
78,-81.4763264979,309.24230957
79,-85.0873799183,266.978790283
80,-83.1131365404,293.939575195
81,-81.3836743936,357.620941162
82,-80.5909192083,711.190002441
83,-77.0906744604,41.126449585
84,-82.3522100708,181.370895386
85,-78.4618901672,184.283050537
86,-86.2144525034,164.49017334
87,-85.9227348853,249.780654907
88,-81.6284838764,219.596008301
89,-90.7791184826,190.108810425
90,-81.3511094116,370.71105957
91,-90.4940841661,171.488296509
92,-77.540501256,73.9697570801
93,-82.320011713,177.284866333
94,-88.3515668185,119.690345764
95,-80.0128520817,460.205688477
96,-82.2476236671,175.925460815
97,-78.4245338719,115.016746521
98,-87.5057939142,148.882232666
99,-76.3886144584,5.41178369522
100,-89.2171360013,171.889923096
101,-89.5417202345,133.099899292
102,-85.1236903803,285.24899292
103,-83.712336548,256.521911621
104,-81.2359024351,633.641845703
105,-87.5431532575,143.716262817
106,-85.8875439754,265.42199707
107,-82.4245006568,179.099533081
108,-89.0684517555,163.356933594
109,-84.3829963332,292.754425049
110,-86.8732001543,161.997756958
111,-88.8759160521,134.07119751
112,-89.6256409085,131.383804321
113,-90.5313720565,172.92237854
114,-86.8360288923,183.19519043
115,-80.7821957853,698.359802246
116,-81.2562862894,604.585998535
117,-81.2881158581,450.315673828
118,-76.6961662983,35.5240859985
119,-81.2557364544,575.761962891
120,-90.3067617968,170.372375488
121,-77.3106189596,49.9220504761
122,-85.5660999497,208.730133057
123,-83.0382372763,266.729431152
124,-83.9995409498,311.434875488
125,-83.0175155535,276.033782959
126,-79.1433088973,491.846466064
127,-86.2799360518,228.779815674
128,-83.4496438461,228.871307373
129,-81.1642739135,707.989318848
130,-78.0512977047,149.69291687
131,-81.7033358979,193.776901245
132,-88.9958135661,142.836029053
133,-77.733181423,101.364067078
134,-84.2749903801,307.843902588
135,-84.8642542701,243.583053589
136,-89.5957906201,132.784606934
137,-78.5538286693,244.654937744
138,-77.9156754883,113.906227112
139,-76.4652054775,11.1803207397
140,-79.2125809024,565.964294434
141,-85.7495372124,132.342025757
142,-76.4118296434,-2.38714814186
143,-80.7379400545,768.42578125
144,-85.4172505997,223.706756592
145,-86.2448665261,204.774459839
146,-77.6330606862,71.7689590454
147,-89.2546014287,163.326309204
148,-82.8704974963,242.624404907
149,-90.8377,191.541732788
150,-78.1058575436,159.12852478
151,-79.5010905758,378.791107178
152,-82.1038124122,189.105834961
153,-80.8063269557,583.154602051
154,-88.1660984907,115.799102783
155,-90.8084016087,171.490921021
156,-84.1691726904,292.089508057
157,-77.6021939068,85.4831771851
158,-83.1506557049,279.282318115
159,-76.4054773089,-6.20710086823
160,-81.9244591703,220.375473022
161,-89.0320945096,152.283615112
162,-88.800937277,159.947891235
163,-80.3127945623,608.274536133
164,-89.9126173806,178.195358276
165,-87.0595897394,127.619026184
166,-90.0497017048,134.351852417
167,-89.104816366,159.499023438
168,-81.2657352895,516.929870605
169,-87.9113039703,116.330444336
170,-76.4276612363,5.73987722397
171,-87.6926143819,137.480514526
172,-89.5073721901,135.026107788
173,-81.1928884479,763.774047852
174,-90.7500780478,171.816619873
175,-85.012834128,225.264801025
176,-80.0473494321,426.87487793
177,-76.39705,17.8388614655
178,-80.3776707477,654.958679199
179,-79.871208293,344.446655273
180,-87.5805819568,137.322937012
181,-79.9387971541,470.943939209
182,-81.449111968,258.381011963
183,-80.7431792159,782.255187988
184,-76.3832547426,1.46539437771
185,-81.1333149802,765.603149414
186,-81.3625932627,360.148193359
187,-87.9835038133,113.939613342
188,-88.8384231598,154.898178101
189,-86.4258557111,208.455856323
190,-86.463300156,187.47076416
191,-76.4151432975,-0.126869305968
192,-85.3428469097,244.509216309
193,-79.0433166114,438.541229248
194,-77.0539359275,40.365776062
195,-81.7364002227,246.158981323
196,-89.5709338094,136.743621826
197,-89.6602281836,131.919616699
198,-86.3154395477,169.463241577
199,-81.7675105899,211.667800903
200,-77.1641635841,40.0228424072
201,-76.7395721362,30.790304184
202,-78.5577642567,236.93548584
203,-81.2633142536,507.74508667
204,-86.9475315091,171.783081055
205,-76.820564099,31.7489681244
206,-80.4660961303,627.395507812
207,-79.189566142,539.341369629
208,-78.851202783,648.224975586
209,-80.4348815709,679.661010742
210,-81.6658078902,239.776794434
211,-84.9005490231,241.883758545
212,-80.8081108,570.378662109
213,-85.6771901621,159.664413452
214,-89.7294360828,148.505966187
215,-78.387177338,114.984321594
216,-76.410557415,4.57841348648
217,-84.975406262,246.394317627
218,-88.6510647564,134.123458862
219,-78.2077538517,147.419219971
220,-79.6446857383,560.170227051
221,-78.627931269,215.36730957
222,-87.8002944014,131.263595581
223,-81.2427992732,653.672668457
224,-79.0693981439,429.394836426
225,-84.7538457399,253.142303467
226,-83.3296306118,384.17868042
227,-83.927337706,294.696929932
228,-86.9847409321,136.971847534
229,-87.2464191978,159.935211182
230,-84.6076959842,265.7293396
231,-79.2594902382,552.116577148
232,-79.5643910484,601.050720215
233,-81.7933335929,216.391036987
234,-78.2764875475,133.149551392
235,-83.5720196813,283.811523438
236,-85.6397686115,156.918869019
237,-77.2376687172,49.9779243469
238,-86.5381750599,180.439804077
239,-82.1743749713,202.839797974
240,-76.4248020927,5.98812580109
241,-76.7178623273,36.0378494263
242,-78.2410375944,154.724655151
243,-76.492550894,10.3045606613
244,-86.6130339415,226.410095215
245,-82.1374777117,201.570343018
246,-80.7787433584,655.723754883
247,-81.8535113545,198.72996521
248,-83.2251580134,333.06729126
249,-88.7634538278,145.939163208
250,-88.9391128384,145.799255371
251,-83.7841444963,277.649047852
252,-86.798853922,143.13885498
253,-83.4315137798,274.379669189
254,-76.6048532571,24.1147327423
255,-76.7613772804,29.1644363403
256,-86.2073915426,177.27432251
257,-80.7718442846,719.392883301
258,-81.4154347473,384.793426514
259,-80.985832438,891.304443359
260,-86.2507312094,223.00869751
261,-78.7020492525,203.721633911
262,-82.2111739502,180.631866455
263,-80.6252123329,740.399169922
264,-90.7213359296,163.701278687
265,-83.7482522962,230.313568115
266,-77.5095738412,66.9329299927
267,-88.9655063738,154.681564331
268,-78.4986482981,131.205200195
269,-81.4484238599,228.788085938
270,-85.2690034435,219.596893311
271,-84.5437835595,288.886688232
272,-77.5713407658,69.6996917725
273,-83.6764126748,237.756744385
274,-84.204824172,294.546722412
275,-82.2840172471,173.981521606
276,-87.7635704193,123.498405457
277,-77.0172014275,38.7573661804
278,-80.8412369093,471.661010742
279,-77.8345532423,87.646697998
280,-82.7218212499,252.98298645
281,-86.3210336872,186.080047607
282,-88.5012088531,124.918785095
283,-78.5706970381,245.855377197
284,-78.5344421254,149.993103027
285,-89.94279762,167.605194092
286,-81.536303278,208.081710815
287,-88.6885247825,140.926834106
288,-78.739305819,197.979522705
289,-89.8024770457,136.892608643
