,longitude,elevation
0,-98.1029965432,553.000427246
1,-109.448058605,2068.90722656
2,-118.412352486,1222.42016602
3,-85.1217636605,305.897888184
4,-104.669187924,1802.4128418
5,-98.8401167556,625.090698242
6,-114.620390071,2030.53601074
7,-90.1537455282,201.771942139
8,-95.7408119983,327.089111328
9,-118.28265129,1309.4864502
10,-117.234769093,1369.41345215
11,-106.988002551,1998.89978027
12,-79.5417438903,440.314971924
13,-77.898396105,613.142028809
14,-97.9949296075,546.93951416
15,-117.773920729,1303.83837891
16,-88.11706001,171.323013306
17,-77.6023499415,323.946411133
18,-103.478295966,1409.11218262
19,-99.7931762854,733.735168457
20,-107.957879304,2052.60424805
21,-86.2171009414,229.647964478
22,-97.4545174338,481.534820557
23,-91.8735273586,255.427764893
24,-104.992698349,2016.41577148
25,-80.1936562365,379.583068848
26,-89.7204504224,193.514068604
27,-81.3341965014,360.40512085
28,-93.9000455446,306.071716309
29,-75.9503162825,321.390319824
30,-113.490859169,1287.10961914
31,-90.5799145142,190.807052612
32,-113.814411503,1285.83288574
33,-112.785663678,1297.16589355
34,-117.86165191,1309.67419434
35,-117.587939688,1372.25024414
36,-107.851611486,2102.93383789
37,-119.642931913,1428.0135498
38,-79.8678160342,436.038085938
39,-99.5837880063,709.859619141
40,-109.556321974,1967.32165527
41,-97.8868576122,535.625854492
42,-94.5465865328,399.974487305
43,-75.5194170337,563.12701416
44,-89.8293008877,188.515213013
45,-81.8621071975,250.132705688
46,-78.1975392917,500.370239258
47,-81.76072959,271.91003418
48,-76.7839511899,177.687820435
49,-110.573379854,2112.98657227
50,-111.782211271,2025.73059082
51,-122.159865862,69.2091674805
52,-116.70729015,1492.31066895
53,-114.121583487,1511.85107422
54,-122.311964747,17.2144012451
55,-112.278944527,1282.53735352
56,-115.258405985,1627.8515625
57,-99.1563239529,661.713806152
58,-109.132642173,1924.71362305
59,-103.694958038,1496.18713379
60,-96.4119684318,348.383361816
61,-77.1914191746,486.07333374
62,-86.8293221697,272.307922363
63,-79.3245350518,462.853912354
64,-80.9253037038,280.730987549
65,-77.7990522697,365.683807373
66,-93.4061994299,290.496337891
67,-110.46802795,2160.15527344
68,-78.3008829373,533.891235352
69,-83.9692785635,223.249359131
70,-92.4209996318,285.260345459
71,-96.7018526401,376.310546875
72,-81.5485321626,227.022476196
73,-90.4778530346,173.158905029
74,-101.667946696,974.388183594
75,-111.67600299,1904.33190918
76,-117.326454638,1386.80993652
77,-102.0939411,1037.92993164
78,-81.4422188406,325.419281006
79,-104.020086618,1539.64245605
80,-81.0104733569,287.926086426
81,-113.059942203,1310.56542969
82,-104.884893241,1903.89477539
83,-86.4310051339,224.858612061
84,-115.052465036,1750.36376953
85,-109.34146564,2089.74975586
86,-116.987125979,1372.73876953
87,-113.167698203,1298.22546387
88,-91.0005227501,231.54510498
89,-114.20096195,1417.60070801
90,-81.9635778934,239.805984497
91,-110.999118317,2053.96289062
92,-77.4066498844,472.586273193
93,-116.207552414,1636.28955078
94,-118.60910226,1186.98242188
95,-74.8466204183,177.781845093
96,-94.3284008419,360.173950195
97,-93.7974557988,297.497467041
98,-95.8210763401,363.090118408
99,-100.984833405,895.032470703
100,-108.822235526,2019.6607666
101,-122.209620184,76.7007064819
102,-87.6888428112,198.488235474
103,-95.0924678019,376.516296387
104,-83.7507374022,196.168655396
105,-110.362608878,2036.73693848
106,-84.9272450033,323.368743896
107,-122.093901419,19.4803218842
108,-122.40573,5.9758272171
109,-103.163816222,1350.59558105
110,-116.907406797,1376.8145752
111,-79.7591217988,417.337768555
112,-91.3265958818,228.049468994
113,-89.9381680521,193.173950195
114,-83.3388021676,187.066604614
115,-110.892299441,2126.39575195
116,-91.654597219,226.644561768
117,-117.503382424,1328.79772949
118,-99.3713936525,685.848693848
119,-118.132959761,1286.60461426
120,-105.100549657,2161.43212891
121,-107.638879437,2089.92602539
122,-76.6756225986,250.63230896
123,-88.222589119,177.829330444
124,-75.0625851955,149.999633789
125,-107.097233019,2024.65588379
126,-75.4120105798,587.306884766
127,-103.060386913,1272.42236328
128,-104.128440988,1564.87341309
129,-76.057467434,305.818786621
130,-111.405265625,1728.94580078
131,-88.5265032297,181.684875488
132,-82.7207984913,210.569839478
133,-98.3191139242,581.055419922
134,-83.136407121,179.116973877
135,-92.2019872971,266.697265625
136,-93.730704218,293.31350708
137,-118.837424018,1184.15661621
138,-118.301741087,1290.69311523
139,-99.6900544523,721.113952637
140,-89.5028009406,194.5965271
141,-111.569448036,2040.1574707
142,-122.027821955,90.9982681274
143,-87.1431169058,195.272491455
144,-121.706105151,11.6315011978
145,-113.706505509,1286.82800293
146,-108.609363562,2111.90625
147,-94.6556586761,430.336242676
148,-102.20241146,1078.43615723
149,-75.6274290457,560.986877441
150,-109.665423383,1894.20556641
151,-116.602862178,1435.19348145
152,-104.777056329,1836.08862305
153,-115.906113829,1523.28503418
154,-95.6711894258,332.131072998
155,-118.921463861,1338.60656738
156,-84.0785681372,232.048934937
157,-112.085922658,1297.72497559
158,-84.8377839712,294.240936279
159,-90.3691864965,181.815155029
160,-101.559371994,958.256835938
161,-93.6219632526,254.938110352
162,-97.6706997551,506.263275146
163,-107.425887105,2047.35510254
164,-85.8888691789,236.358688354
165,-118.353071856,1253.53894043
