,longitude,elevation
0,-87.2653808648,178.075393677
1,-96.3135981281,380.141693115
2,-110.736571682,2121.74804688
3,-86.7111809572,242.880645752
4,-87.6726370791,170.581954956
5,-89.7091968908,164.522369385
6,-106.241300858,3197.44335938
7,-86.6350384271,231.519348145
8,-80.7639750218,342.024353027
9,-110.657193919,2021.4486084
10,-108.585812467,1416.64953613
11,-78.4042938792,510.662322998
12,-78.3273893622,365.668395996
13,-83.4683802783,325.822479248
14,-90.8491785833,184.560760498
15,-109.179226044,1370.25598145
16,-93.3349266667,217.818786621
17,-111.698373687,1982.71533203
18,-110.348994318,1335.14404297
19,-105.156306241,1694.11279297
20,-84.2510937141,269.507537842
21,-105.761561043,3270.30810547
22,-82.9748730631,240.94342041
23,-91.3912911092,258.470367432
24,-77.815210445,133.571426392
25,-109.973230348,1385.54785156
26,-88.4294068523,185.808898926
27,-109.289757989,1374.13391113
28,-107.681786552,1654.6282959
29,-109.728996525,1524.4576416
30,-77.8968391837,138.673461914
31,-85.8137128085,268.903411865
32,-87.1022755835,186.55406189
33,-98.4018776822,514.555908203
34,-82.0689613491,255.184036255
35,-108.059744971,1546.90270996
36,-87.0239170928,198.793563843
37,-84.6630771917,338.486053467
38,-102.666555255,1346.84790039
39,-84.9890645603,305.288085938
40,-86.7885826547,248.271621704
41,-86.9455153973,196.158676147
42,-92.5230908598,235.546783447
43,-106.187702639,3411.46630859
44,-104.058673984,1577.56530762
45,-77.3629342131,105.320014954
46,-108.348163605,1829.22766113
47,-78.2709234613,308.641021729
48,-99.6906313492,695.024475098
49,-107.762560761,1630.60388184
50,-77.7386959661,167.626235962
51,-104.188280747,1589.86889648
52,-89.4770588858,158.564300537
53,-112.139269124,1683.43322754
54,-98.5647450094,535.319030762
55,-111.448686542,2432.17211914
56,-78.2424486241,397.334411621
57,-90.4502122062,145.459579468
58,-104.678910546,1704.22143555
59,-96.7910928753,334.887176514
60,-82.6484146927,324.616271973
61,-106.103622662,2792.26831055
62,-79.2483979535,780.63659668
63,-108.219192004,1493.25244141
64,-103.567915724,1672.61901855
65,-79.6769687294,351.494995117
66,-78.4827097454,341.972686768
67,-111.92384066,1586.48474121
68,-92.6838034489,203.938278198
69,-106.515148691,2291.05932617
70,-95.3474543358,315.810058594
71,-78.0500604307,141.837081909
72,-83.138622114,279.566833496
73,-106.438518032,2445.78686523
74,-93.6602885912,237.864593506
75,-86.3386329547,226.331481934
76,-86.1342565681,223.404144287
77,-90.3748265455,184.53565979
78,-110.120187758,1278.26196289
79,-94.9534393627,291.791046143
80,-102.994545597,1448.92687988
81,-99.133215704,593.889099121
82,-91.5524982562,206.831878662
83,-83.2213822822,280.860290527
84,-79.4587783956,519.689331055
85,-78.4069989563,320.489868164
86,-111.372412612,2090.97167969
87,-100.328131441,829.231201172
88,-103.240484656,1575.31567383
89,-88.1978819041,179.398361206
90,-109.402807199,1348.35546875
91,-96.5588124774,424.013305664
92,-77.2043200212,196.091445923
93,-100.485569745,853.944091797
94,-79.0388530527,689.632080078
95,-111.296787231,1934.34875488
96,-111.546687461,2201.51342773
97,-82.8120454014,257.45223999
98,-109.891940241,1428.68615723
99,-98.7276972288,562.139343262
100,-105.971407257,3335.7421875
101,-100.905031266,946.128662109
102,-90.6065996147,147.979141235
103,-78.2089185219,185.162506104
104,-97.9946596349,453.565155029
105,-110.426055901,1350.76330566
106,-84.4983210106,317.138305664
107,-97.5891104521,378.863647461
108,-76.7211293779,118.158370972
109,-99.5321642207,645.954162598
110,-112.38204752,2068.03881836
111,-79.8314300964,334.376312256
112,-110.97964214,1941.86999512
113,-100.56719661,872.729980469
114,-91.0109831923,214.818893433
115,-89.180416592,157.694900513
116,-109.344914203,1353.21862793
117,-89.4029810454,166.637313843
118,-105.08874134,1629.77392578
119,-98.4833028205,534.892089844
120,-101.68432202,1115.5970459
121,-77.6645464755,167.955841064
122,-111.060634061,1703.98742676
123,-78.642207323,359.415161133
124,-106.037551156,2772.36181641
125,-89.7872572041,153.178909302
126,-102.33858753,1282.5144043
127,-98.2390085488,538.395751953
128,-92.116846397,265.880645752
129,-96.6113836985,396.182250977
130,-95.9050846225,300.689819336
131,-106.361016746,2532.859375
132,-93.7417233048,246.023071289
133,-93.4975824301,213.526397705
134,-80.2316519903,363.246856689
135,-108.81206518,1375.60839844
136,-80.5996014471,314.089050293
137,-89.1023477105,160.661499023
138,-97.750540909,412.147949219
139,-105.452750015,2559.88793945
140,-112.537375015,2160.68676758
141,-89.2546598935,159.222259521
142,-110.898634357,2096.97558594
143,-110.503899575,1792.21203613
144,-106.665853121,2287.55566406
145,-97.0284018066,370.126525879
146,-84.7441304843,361.216003418
147,-96.1501667502,304.550415039
148,-84.1686603525,240.402893066
149,-100.810567008,923.740661621
150,-83.3863418095,307.949707031
151,-99.9303784044,743.432128906
152,-90.9300724371,188.811019897
153,-102.830554523,1412.94555664
154,-108.664645424,1387.24389648
155,-80.5264462711,382.274749756
156,-102.093554204,1200.50927734
157,-104.515184499,1705.36767578
158,-79.3905506425,541.732055664
159,-103.896165732,1706.50537109
160,-107.924024254,1631.0949707
161,-87.1832745727,203.755249023
162,-81.4185342192,307.835601807
163,-78.5648963946,357.993133545
164,-94.7976843953,292.778167725
165,-112.458572475,2068.04248047
166,-83.0560453935,221.634429932
167,-98.9721524305,570.14666748
168,-112.307296246,1981.36206055
169,-103.938094393,1658.98779297
170,-91.0921165833,237.720001221
171,-78.2569114238,386.515380859
172,-105.373701814,2264.9074707
173,-106.591535956,2247.35473633
174,-106.143080045,2962.14599609
175,-107.992343828,1695.06640625
176,-78.7199225949,448.975891113
177,-82.2344790938,293.203948975
178,-104.760723403,1661.53991699
179,-91.2544364792,269.575653076
180,-103.731456683,1653.55419922
181,-78.4218558072,349.614837646
182,-104.597117937,1685.6138916
