,longitude,elevation
201,-89.2617951746,280.104614258
202,-98.9897307994,526.697814941
203,-73.4530789305,328.057830811
204,-110.185683642,1308.06970215
205,-107.608992105,885.389404297
206,-93.966169327,337.554077148
207,-105.224286936,1310.62023926
208,-74.5872629832,170.351715088
209,-73.8278634078,56.0535507202
210,-85.3986030366,264.177368164
211,-78.0399909612,238.441299438
212,-91.577985267,378.539916992
213,-82.8072636069,213.986785889
214,-91.2276431416,213.860519409
215,-107.35978393,1079.44067383
216,-120.51023547,492.270202637
217,-104.300732038,1364.64050293
218,-106.956035885,1157.18676758
219,-90.0937919826,277.967926025
220,-114.752910398,939.022583008
221,-116.318583945,965.113891602
222,-89.8946331389,274.784820557
223,-100.290445664,617.827575684
224,-86.095407746,233.964782715
225,-106.766916308,1440.95239258
226,-109.95215786,1261.66467285
227,-116.927377571,663.355773926
228,-101.01304027,706.745544434
229,-114.279550131,1201.46118164
230,-87.7397855351,184.851119995
231,-87.4227682246,180.148986816
232,-95.6465230488,495.748535156
233,-90.5565876893,312.234924316
234,-72.4981890226,65.8360595703
235,-75.3506851666,157.277297974
236,-101.248359614,709.236328125
237,-77.3349683051,186.842453003
238,-96.4852975188,435.199768066
239,-114.391181055,921.704162598
240,-72.7313291524,39.3773765564
241,-117.309087858,584.322570801
242,-112.798925305,1524.73522949
243,-119.943975211,422.230255127
244,-112.924016627,1294.9621582
245,-121.285009006,827.931396484
246,-119.837621242,367.183319092
247,-74.0537932476,334.403961182
248,-80.4451342037,221.802215576
249,-91.4600266849,357.527008057
250,-95.8864346834,484.715148926
251,-109.488590843,1171.46203613
252,-106.907841118,1325.16320801
253,-77.217685611,168.072601318
254,-107.202243249,1213.74853516
255,-85.9794622467,236.398544312
256,-88.9683865611,271.050628662
257,-84.6351649967,267.268005371
258,-106.071077962,1300.72753906
259,-74.9056419813,133.481811523
260,-118.118715208,588.431030273
261,-86.544435229,244.446624756
262,-80.9667065315,244.154006958
263,-107.324951862,1418.73413086
264,-84.7510579921,289.472473145
265,-92.8869322298,381.652618408
266,-120.268096708,678.265930176
267,-93.4858700755,388.842559814
268,-98.273620137,435.509490967
269,-77.4513845993,167.206771851
270,-81.5970753062,190.17956543
271,-119.591795716,355.936126709
272,-73.7864361394,63.5530281067
273,-94.2062966633,335.932342529
274,-76.7492348203,115.753089905
275,-93.0064976743,369.980895996
276,-97.7936984386,410.722015381
277,-112.298306578,1607.00476074
278,-78.7203034805,213.53515625
279,-121.577176011,662.033874512
280,-90.1941498463,277.891784668
281,-88.7329070292,248.012298584
282,-106.704739067,1444.99304199
283,-108.670406642,990.557128906
284,-108.341732042,1112.75695801
285,-113.145625976,1250.2244873
286,-113.511440111,1207.93225098
287,-78.2764263266,273.563323975
288,-118.828486544,437.178924561
289,-106.813563401,1485.24316406
290,-107.847468075,986.72088623
291,-112.417566762,1963.78942871
292,-89.1793464882,274.475738525
293,-90.9887332742,222.038421631
294,-101.485254009,743.537841797
295,-92.6739135544,428.984130859
296,-105.1031126,1292.12634277
297,-80.0239247124,321.984863281
298,-76.6374601886,145.148712158
299,-92.1801379825,401.518615723
300,-88.9767686379,249.819290161
301,-91.9391706283,357.554595947
302,-86.21132625,237.087982178
303,-82.2394938309,224.853057861
304,-115.118705066,1249.87023926
305,-83.9114599362,212.284988403
306,-84.9526556202,326.833190918
307,-117.915579086,643.214050293
308,-104.741811855,1289.90979004
309,-104.62166404,1313.38952637
310,-103.981588286,1153.51489258
311,-76.2966822256,122.790588379
312,-122.204824175,54.230014801
313,-111.451894355,1310.15783691
314,-107.414510034,962.015930176
315,-92.5809528647,409.015197754
316,-82.3530779292,232.395401001
317,-75.1187934747,131.139068604
318,-119.338305629,323.214019775
319,-80.2237325178,286.971374512
320,-105.584032484,1424.90539551
321,-102.891679879,901.705932617
322,-79.3608565505,199.584228516
323,-99.2281045352,487.770690918
324,-102.264084541,854.605285645
325,-89.6598663337,254.673919678
326,-80.8572234984,257.722839355
327,-94.8065199824,403.247283936
328,-86.86021393,251.265548706
329,-113.260299175,1385.71447754
330,-105.883346002,1362.1184082
331,-98.6325215683,490.211639404
332,-74.6729506088,129.491836548
333,-103.402540581,1067.71411133
334,-96.0063000629,471.774475098
335,-117.817090859,694.252380371
336,-110.302322653,1440.39111328
337,-71.5899479727,90.4241104126
338,-109.3718386,1168.53405762
339,-101.132306015,703.686279297
340,-73.6347829081,111.077651978
341,-94.5664485,372.211883545
342,-84.6077684887,264.71786499
343,-112.175151158,1404.60656738
344,-111.558756462,1247.68811035
345,-122.081888663,143.113967896
346,-95.1665747916,457.615020752
347,-71.9246486525,248.803939819
348,-103.541666152,1198.87731934
349,-104.195963,1273.3939209
350,-111.238687452,1347.42260742
351,-81.4012544889,208.559204102
352,-73.5460295958,275.950714111
353,-107.383370513,1001.96252441
354,-71.3665551849,54.1691322327
355,-98.8706137514,516.193786621
356,-121.066902587,749.951293945
357,-90.8692095293,244.176864624
358,-99.3468704719,431.008972168
359,-93.3659744021,380.452514648
360,-97.4339369669,454.270202637
361,-99.5719983577,544.432189941
362,-85.6314154318,251.721481323
363,-109.604285045,1248.0402832
364,-118.017248793,618.251464844
365,-92.4048216113,385.021392822
366,-81.8047749936,209.70149231
367,-75.7041378125,128.531799316
368,-107.457036366,928.126953125
369,-88.8445482771,248.864456177
370,-118.70163431,535.937805176
371,-85.1658063165,304.012512207
372,-109.254764853,1092.11364746
373,-112.625595749,1673.12915039
374,-115.468326569,1142.37854004
375,-84.5761142609,263.534973145
376,-71.8129607443,158.972015381
377,-113.634066359,1301.38439941
378,-102.475954644,765.21282959
379,-77.0990623975,170.300384521
380,-77.9214191928,211.673797607
381,-87.583802693,182.160827637
382,-104.514314023,1484.10766602
383,-107.358240966,1035.30810547
384,-76.0588387922,137.726043701
