,longitude,elevation
0,-93.7321471596,93.4441986084
1,-92.530578474,120.010108948
2,-92.8176264938,97.9593582153
3,-92.6080008633,98.9158935547
4,-97.4396962216,203.149414062
5,-92.6033006044,105.538063049
6,-97.0730880727,165.233978271
7,-92.4813520973,114.77053833
8,-94.9315473719,122.967971802
9,-97.3102092424,164.616775513
10,-94.4051493955,115.073280334
11,-96.1136148078,165.111312866
12,-97.296964365,158.735168457
13,-94.0764443189,106.060455322
14,-93.3155412485,67.4862976074
15,-93.5279509593,97.8312911987
16,-97.2328763967,181.875717163
17,-93.1332057271,84.0457077026
18,-96.5197717046,140.528335571
19,-94.7061964105,84.9984893799
20,-95.3955273802,132.751296997
21,-95.3467053613,131.082351685
22,-92.6147104799,87.1335067749
23,-96.8738349629,158.885543823
24,-96.378809135,174.033248901
25,-93.9054203807,81.2407608032
26,-93.5510196433,92.2016677856
27,-92.878498433,76.6061859131
28,-93.6821686624,94.6883621216
29,-92.2621399216,90.146484375
30,-96.4400266589,168.404510498
31,-94.7946710903,82.2751998901
32,-93.2952812968,73.8677902222
33,-94.8280570488,90.966796875
34,-94.8500601113,100.596916199
35,-92.8082509072,115.823883057
36,-92.542930978,138.453170776
37,-96.1041183885,168.028930664
38,-97.3999859607,219.012237549
39,-93.9659647991,80.7343521118
40,-94.3650734664,114.153968811
41,-96.1987831395,156.59286499
42,-92.9833054217,76.0547027588
43,-92.6277959561,88.2274398804
44,-95.8064482298,177.57421875
45,-94.3250635959,108.444915771
46,-97.0997213058,186.610992432
47,-94.7572529459,88.0869064331
48,-95.3554584578,123.886100769
49,-96.4963576438,133.646591187
50,-96.7331434872,137.880523682
51,-94.4810680779,122.416091919
52,-92.7136726066,124.744468689
53,-94.1798285769,111.169113159
54,-95.3688237348,132.424560547
55,-95.7277097507,158.390365601
56,-95.4499995216,126.891639709
57,-95.7798135737,172.76499939
58,-96.1348854924,162.822814941
59,-94.5047474132,113.457145691
60,-95.2170896405,157.674362183
61,-93.3762372244,113.816848755
62,-92.7525204441,127.46559906
63,-97.3867045807,204.476074219
64,-95.4246989425,130.681259155
65,-96.6240396588,169.738464355
66,-92.25969,84.3449401855
67,-92.9745638366,93.0085296631
68,-97.4921113436,246.854141235
69,-93.9861295287,99.5101318359
70,-93.0095364915,106.393386841
71,-95.2971949121,120.378707886
72,-96.0599817537,160.519638062
73,-95.2838280549,130.442840576
74,-95.576522081,144.877471924
75,-96.4144736086,181.96182251
76,-93.5074597556,100.171127319
77,-95.0308912855,113.62512207
78,-96.2307266697,154.724960327
79,-92.2624342028,82.6076965332
80,-93.4367200062,102.593429565
81,-96.1811653599,155.423080444
82,-95.8999457415,183.98576355
83,-92.9291813622,95.1836929321
84,-93.9562246229,79.782371521
85,-94.4318969851,120.030441284
86,-93.5926381592,106.848388672
87,-97.5544551214,268.901306152
88,-95.0706599045,135.04234314
89,-93.1722832757,60.2982177734
90,-94.9932363676,120.700958252
91,-93.477153203,84.0004043579
92,-93.8443265825,78.5502319336
93,-95.5843002086,152.085983276
94,-93.9464827115,84.2912750244
95,-95.0572919326,130.416946411
96,-94.5986802731,102.571540833
97,-93.5176487127,98.3869400024
98,-97.0864046824,180.71421814
99,-97.3733918591,186.638061523
100,-95.7931305692,179.183227539
101,-93.8692713649,81.3276977539
102,-94.5777063402,98.8801803589
103,-95.8732079935,184.338943481
104,-93.5394860779,90.6959915161
105,-96.8220295845,124.454856873
106,-97.5930138205,314.448059082
107,-93.6698683475,92.4374313354
108,-96.3594434441,165.063934326
109,-92.41910483,89.7784042358
110,-92.9206917188,100.435302734
111,-95.8598392555,183.611923218
112,-95.2704836184,144.979873657
113,-93.9170593284,82.4300308228
114,-94.3917904091,118.491317749
115,-94.8610590309,114.084754944
116,-92.6742749408,125.833869934
117,-92.3345403859,100.000312805
118,-95.1776159805,146.752075195
119,-95.6746251763,152.653030396
